achievement_code,domain,concept_count,high_confidence_count,medium_confidence_count,low_confidence_count,concept_ids,concept_labels
9수03-16,도형과 측정,13,10,2,1,m1_geo_area; m1_geo_cosine; m1_geo_domain; m1_geo_right_triangle; m1_geo_right_triangle_trig_value; m1_geo_sine; m1_geo_special_angles_30_45_60; m1_geo_tangent_ratio; m1_geo_trig_distance_height; m1_geo_trig_triangle_area; m1_geo_trig_unit; m1_geo_trigonometric_ratio; m1_num_ratio,"넓이; 코사인; 도형과 측정; 직각삼각형; 직각삼각형에서 삼각비 값 구하기; 사인; 30도, 45도, 60도의 삼각비; 탄젠트; 삼각비로 거리와 높이 구하기; 삼각비를 이용한 삼각형의 넓이; 삼각비; 삼각비; 비"
9수03-17,도형과 측정,13,10,2,1,m1_geo_area; m1_geo_cosine; m1_geo_domain; m1_geo_right_triangle; m1_geo_right_triangle_trig_value; m1_geo_sine; m1_geo_special_angles_30_45_60; m1_geo_tangent_ratio; m1_geo_trig_distance_height; m1_geo_trig_triangle_area; m1_geo_trig_unit; m1_geo_trigonometric_ratio; m1_num_ratio,"넓이; 코사인; 도형과 측정; 직각삼각형; 직각삼각형에서 삼각비 값 구하기; 사인; 30도, 45도, 60도의 삼각비; 탄젠트; 삼각비로 거리와 높이 구하기; 삼각비를 이용한 삼각형의 넓이; 삼각비; 삼각비; 비"
9수03-18,도형과 측정,14,12,1,1,m1_geo_chord; m1_geo_circle; m1_geo_circle_chord_property; m1_geo_circle_justification; m1_geo_circle_unit; m1_geo_domain; m1_geo_inscribed_angle; m1_geo_inscribed_angle_property; m1_geo_tangent_length; m1_geo_tangent_line; m1_geo_tangent_point; m1_geo_tangent_property; m1_geo_tangent_relation; m1_mis_tangent_radius,현; 원; 원의 현에 관한 성질; 원의 성질 정당화; 원의 성질; 도형과 측정; 원주각; 원주각의 성질; 접선의 길이; 접선; 접점; 원의 접선에 관한 성질; 접한다; 접선과 반지름의 수직 관계를 놓치는 오류
9수03-19,도형과 측정,14,12,1,1,m1_geo_chord; m1_geo_circle; m1_geo_circle_chord_property; m1_geo_circle_justification; m1_geo_circle_unit; m1_geo_domain; m1_geo_inscribed_angle; m1_geo_inscribed_angle_property; m1_geo_tangent_length; m1_geo_tangent_line; m1_geo_tangent_point; m1_geo_tangent_property; m1_geo_tangent_relation; m1_mis_tangent_radius,현; 원; 원의 현에 관한 성질; 원의 성질 정당화; 원의 성질; 도형과 측정; 원주각; 원주각의 성질; 접선의 길이; 접선; 접점; 원의 접선에 관한 성질; 접한다; 접선과 반지름의 수직 관계를 놓치는 오류
9수04-01,자료와 가능성,8,6,1,1,m1_data_choose_representative_value; m1_data_domain; m1_data_mean; m1_data_median; m1_data_mode; m1_data_representative_unit; m1_data_representative_value; m1_mis_mean_only_representative,자료의 특성에 맞는 대푯값 선택; 자료와 가능성; 평균; 중앙값; 최빈값; 대푯값; 대푯값; 대푯값을 평균으로만 보는 오류
9수04-02,자료와 가능성,32,26,4,2,m1_data_class; m1_data_class_mark; m1_data_class_width; m1_data_compare_groups_by_relative_frequency; m1_data_data_analysis; m1_data_data_collection; m1_data_dataset; m1_data_distribution; m1_data_distribution_interpretation; m1_data_domain; m1_data_frequency; m1_data_frequency_polygon; m1_data_frequency_polygon_drawing; m1_data_frequency_table; m1_data_frequency_table_construction; m1_data_frequency_unit; m1_data_histogram; m1_data_histogram_drawing; m1_data_inquiry_plan; m1_data_relative_frequency; m1_data_relative_frequency_calculation; m1_data_relative_frequency_distribution; m1_data_relative_frequency_table_graph; m1_data_result_interpretation; m1_data_statistical_evidence_discussion; m1_data_statistical_inquiry_problem; m1_data_statistical_inquiry_unit; m1_data_stem_leaf_plot; m1_data_technology_tool_stats; m1_data_total_frequency; m1_mis_histogram_bar_graph; m1_mis_relative_frequency_frequency,계급; 계급값; 계급의 크기; 상대도수로 두 집단의 분포 비교하기; 자료 분석; 자료 수집; 자료; 자료의 분포; 자료의 분포 특징 해석; 자료와 가능성; 도수; 도수분포다각형; 도수분포다각형으로 나타내기; 도수분포표; 도수분포표로 나타내기; 도수분포표와 상대도수; 히스토그램; 히스토그램으로 나타내기; 자료 수집 계획; 상대도수; 상대도수 구하기; 상대도수의 분포; 상대도수의 분포를 표나 그래프로 나타내기; 분석 결과 해석; 통계적 근거로 토론하기; 통계적 탐구 문제; 통계적 탐구; 줄기와 잎 그림; 공학 도구로 자료 수집·분석하기; 총도수; 히스토그램과 막대그래프를 같은 표현으로 보는 오류; 도수와 상대도수를 혼동하는 오류
9수04-03,자료와 가능성,33,26,3,4,m1_data_class; m1_data_class_width; m1_data_compare_groups_by_relative_frequency; m1_data_data_analysis; m1_data_data_collection; m1_data_dataset; m1_data_distribution; m1_data_distribution_interpretation; m1_data_domain; m1_data_frequency; m1_data_frequency_polygon; m1_data_frequency_polygon_drawing; m1_data_frequency_table; m1_data_frequency_table_construction; m1_data_frequency_unit; m1_data_histogram; m1_data_histogram_drawing; m1_data_inquiry_plan; m1_data_relative_frequency; m1_data_relative_frequency_calculation; m1_data_relative_frequency_distribution; m1_data_relative_frequency_sum; m1_data_relative_frequency_table_graph; m1_data_result_interpretation; m1_data_statistical_evidence_discussion; m1_data_statistical_inquiry_problem; m1_data_statistical_inquiry_unit; m1_data_stem_leaf_plot; m1_data_technology_tool_stats; m1_data_total_frequency; m1_mis_histogram_bar_graph; m1_mis_relative_frequency_frequency; m1_num_ratio,계급; 계급의 크기; 상대도수로 두 집단의 분포 비교하기; 자료 분석; 자료 수집; 자료; 자료의 분포; 자료의 분포 특징 해석; 자료와 가능성; 도수; 도수분포다각형; 도수분포다각형으로 나타내기; 도수분포표; 도수분포표로 나타내기; 도수분포표와 상대도수; 히스토그램; 히스토그램으로 나타내기; 자료 수집 계획; 상대도수; 상대도수 구하기; 상대도수의 분포; 상대도수의 합; 상대도수의 분포를 표나 그래프로 나타내기; 분석 결과 해석; 통계적 근거로 토론하기; 통계적 탐구 문제; 통계적 탐구; 줄기와 잎 그림; 공학 도구로 자료 수집·분석하기; 총도수; 히스토그램과 막대그래프를 같은 표현으로 보는 오류; 도수와 상대도수를 혼동하는 오류; 비
9수04-04,자료와 가능성,31,26,3,2,m1_data_class; m1_data_class_width; m1_data_compare_groups_by_relative_frequency; m1_data_data_analysis; m1_data_data_collection; m1_data_dataset; m1_data_distribution; m1_data_distribution_interpretation; m1_data_domain; m1_data_frequency; m1_data_frequency_polygon; m1_data_frequency_polygon_drawing; m1_data_frequency_table; m1_data_frequency_table_construction; m1_data_frequency_unit; m1_data_histogram; m1_data_histogram_drawing; m1_data_inquiry_plan; m1_data_relative_frequency; m1_data_relative_frequency_calculation; m1_data_relative_frequency_distribution; m1_data_relative_frequency_table_graph; m1_data_result_interpretation; m1_data_statistical_evidence_discussion; m1_data_statistical_inquiry_problem; m1_data_statistical_inquiry_unit; m1_data_stem_leaf_plot; m1_data_technology_tool_stats; m1_data_total_frequency; m1_mis_histogram_bar_graph; m1_mis_relative_frequency_frequency,계급; 계급의 크기; 상대도수로 두 집단의 분포 비교하기; 자료 분석; 자료 수집; 자료; 자료의 분포; 자료의 분포 특징 해석; 자료와 가능성; 도수; 도수분포다각형; 도수분포다각형으로 나타내기; 도수분포표; 도수분포표로 나타내기; 도수분포표와 상대도수; 히스토그램; 히스토그램으로 나타내기; 자료 수집 계획; 상대도수; 상대도수 구하기; 상대도수의 분포; 상대도수의 분포를 표나 그래프로 나타내기; 분석 결과 해석; 통계적 근거로 토론하기; 통계적 탐구 문제; 통계적 탐구; 줄기와 잎 그림; 공학 도구로 자료 수집·분석하기; 총도수; 히스토그램과 막대그래프를 같은 표현으로 보는 오류; 도수와 상대도수를 혼동하는 오류
9수04-05,자료와 가능성,25,6,14,5,m1_data_addition_counting; m1_data_and_cases; m1_data_and_probability; m1_data_counting_cases; m1_data_domain; m1_data_event; m1_data_event_cases_count; m1_data_experimental_probability; m1_data_multiplication_counting; m1_data_one_probability_event; m1_data_or_cases; m1_data_or_probability; m1_data_probability; m1_data_probability_basic_properties; m1_data_probability_by_case_ratio; m1_data_probability_range_0_1; m1_data_probability_unit; m1_data_probability_value; m1_data_relative_frequency_case_ratio_link; m1_data_route_counting_context; m1_data_theoretical_probability; m1_data_total_cases; m1_data_zero_probability_event; m1_mis_or_and_counting_confusion; m1_num_ratio,두 경우의 수를 합하는 상황; 사건 A와 사건 B가 동시에 일어나는 경우의 수; 사건 A와 사건 B가 동시에 일어날 확률; 경우의 수; 자료와 가능성; 사건; 사건이 일어나는 경우의 수; 상대도수로서의 확률; 두 경우의 수를 곱하는 상황; 확률이 1인 사건; 사건 A 또는 사건 B가 일어나는 경우의 수; 사건 A 또는 사건 B가 일어날 확률; 확률; 확률의 기본 성질; 경우의 수의 비율로 확률 구하기; 확률의 범위; 경우의 수와 확률; 확률값; 상대도수와 경우의 수의 비율 연결; 이동 경로의 경우의 수 맥락; 경우의 수의 비율로서의 확률; 전체 경우의 수; 확률이 0인 사건; 또는과 동시에의 경우의 수를 혼동하는 오류; 비
9수04-06,자료와 가능성,24,6,13,5,m1_data_addition_counting; m1_data_and_cases; m1_data_and_probability; m1_data_counting_cases; m1_data_domain; m1_data_event; m1_data_event_cases_count; m1_data_experimental_probability; m1_data_multiplication_counting; m1_data_one_probability_event; m1_data_or_cases; m1_data_or_probability; m1_data_probability; m1_data_probability_basic_properties; m1_data_probability_by_case_ratio; m1_data_probability_range_0_1; m1_data_probability_unit; m1_data_probability_value; m1_data_relative_frequency_case_ratio_link; m1_data_theoretical_probability; m1_data_total_cases; m1_data_zero_probability_event; m1_mis_or_and_counting_confusion; m1_num_ratio,두 경우의 수를 합하는 상황; 사건 A와 사건 B가 동시에 일어나는 경우의 수; 사건 A와 사건 B가 동시에 일어날 확률; 경우의 수; 자료와 가능성; 사건; 사건이 일어나는 경우의 수; 상대도수로서의 확률; 두 경우의 수를 곱하는 상황; 확률이 1인 사건; 사건 A 또는 사건 B가 일어나는 경우의 수; 사건 A 또는 사건 B가 일어날 확률; 확률; 확률의 기본 성질; 경우의 수의 비율로 확률 구하기; 확률의 범위; 경우의 수와 확률; 확률값; 상대도수와 경우의 수의 비율 연결; 경우의 수의 비율로서의 확률; 전체 경우의 수; 확률이 0인 사건; 또는과 동시에의 경우의 수를 혼동하는 오류; 비
9수04-07,자료와 가능성,11,10,0,1,m1_data_calculate_variance_sd; m1_data_compare_distributions_variability; m1_data_deviation; m1_data_distribution; m1_data_domain; m1_data_standard_deviation; m1_data_variability; m1_data_variability_unit; m1_data_variable; m1_data_variance; m1_mis_variance_standard_deviation,분산과 표준편차 구하기; 산포도로 두 집단의 분포 비교; 편차; 자료의 분포; 자료와 가능성; 표준편차; 산포도; 산포도; 변량; 분산; 분산과 표준편차를 같은 값으로 보는 오류
9수04-08,자료와 가능성,13,12,0,1,m1_data_box_plot; m1_data_box_plot_compare; m1_data_box_scatter_unit; m1_data_correlation; m1_data_domain; m1_data_negative_correlation; m1_data_no_correlation; m1_data_positive_correlation; m1_data_quartile; m1_data_scatter_plot; m1_data_scatter_plot_interpretation; m1_data_technology_tool_stats; m1_mis_correlation_causation,상자그림; 상자그림으로 두 집단의 분포 비교; 상자그림과 산점도; 상관관계; 자료와 가능성; 음의 상관관계; 상관관계가 없는 경우; 양의 상관관계; 사분위수; 산점도; 산점도로 상관관계 말하기; 공학 도구로 자료 수집·분석하기; 상관관계를 원인과 결과로 단정하는 오류
9수04-09,자료와 가능성,13,12,0,1,m1_data_box_plot; m1_data_box_plot_compare; m1_data_box_scatter_unit; m1_data_correlation; m1_data_domain; m1_data_negative_correlation; m1_data_no_correlation; m1_data_positive_correlation; m1_data_quartile; m1_data_scatter_plot; m1_data_scatter_plot_interpretation; m1_data_technology_tool_stats; m1_mis_correlation_causation,상자그림; 상자그림으로 두 집단의 분포 비교; 상자그림과 산점도; 상관관계; 자료와 가능성; 음의 상관관계; 상관관계가 없는 경우; 양의 상관관계; 사분위수; 산점도; 산점도로 상관관계 말하기; 공학 도구로 자료 수집·분석하기; 상관관계를 원인과 결과로 단정하는 오류
