rank,node_id,node_label_ko,related_id,related_label_ko,node_domain,node_unit,related_domain,related_unit,node_concept_type,related_concept_type,same_domain,same_unit,reciprocal_related_id,candidate_relationship_types,priority_score,priority_tier,next_action,source_refs
76,m1_quad_func_vertex_form,y=a(x-p)^2+q 꼴,m1_quad_func_axis,축,변화와 관계,이차함수와 그 그래프,변화와 관계,이차함수와 그 그래프,representation,term,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,achievement_math_2022: 이차함수와 그 그래프 section; [9수02-22] achievement levels
77,m1_quad_func_vertex_form,y=a(x-p)^2+q 꼴,m1_quad_func_vertex,꼭짓점,변화와 관계,이차함수와 그 그래프,변화와 관계,이차함수와 그 그래프,representation,term,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,achievement_math_2022: 이차함수와 그 그래프 section; [9수02-22] achievement levels
78,m1_quad_func_y_ax2_graph,y=ax^2 그래프,m1_quad_func_vertex_form,y=a(x-p)^2+q 꼴,변화와 관계,이차함수와 그 그래프,변화와 관계,이차함수와 그 그래프,representation,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,achievement_math_2022: 이차함수와 그 그래프 section; [9수02-22] achievement levels
79,m1_eq_modeling_linear_equation,일차방정식 세우기,m1_eq_solution_check,해의 확인,변화와 관계,일차방정식,변화와 관계,일차방정식,procedure,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 34; [9수02-04]; achievement_math_2022: 일차방정식 section; [9수02-04] achievement levels
80,m1_eq_modeling_linear_equation,일차방정식 세우기,m1_eq_solving_linear_equation,일차방정식 풀기,변화와 관계,일차방정식,변화와 관계,일차방정식,procedure,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 34; [9수02-04]; achievement_math_2022: 일차방정식 section; [9수02-04] achievement levels
81,m1_eq_unit,일차방정식,m1_calc_unit,식의 계산,변화와 관계,일차방정식,변화와 관계,식의 계산,core_concept,core_concept,yes,no,yes,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 34; [9수02-03]; curriculum_math_2022: printed p. 34; [9수02-04]
82,m1_eq_unknown,미지수,m1_eq_solution,해,변화와 관계,일차방정식,변화와 관계,일차방정식,term,term,yes,yes,no,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; terms and symbols for 변화와 관계; achievement_math_2022: 일차방정식 section; [9수02-03] achievement levels
83,m1_ineq_modeling_linear_inequality,일차부등식 세우기,m1_ineq_solution_check,부등식 해의 확인,변화와 관계,일차부등식,변화와 관계,일차부등식,procedure,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-12]; achievement_math_2022: 일차부등식 section; [9수02-12] achievement levels
84,m1_ineq_modeling_linear_inequality,일차부등식 세우기,m1_ineq_solving_linear_inequality,일차부등식 풀기,변화와 관계,일차부등식,변화와 관계,일차부등식,procedure,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-12]; achievement_math_2022: 일차부등식 section; [9수02-12] achievement levels
85,m1_func_find_graph_equation,일차함수 그래프의 식 구하기,m1_func_slope,기울기,변화와 관계,일차함수와 그 그래프,변화와 관계,일차함수와 그 그래프,procedure,term,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-16]; achievement_math_2022: 일차함수와 그 그래프 section; [9수02-16] achievement levels
86,m1_func_find_graph_equation,일차함수 그래프의 식 구하기,m1_func_y_intercept,y절편,변화와 관계,일차함수와 그 그래프,변화와 관계,일차함수와 그 그래프,procedure,term,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-16]; achievement_math_2022: 일차함수와 그 그래프 section; [9수02-16] achievement levels
87,m1_func_graph_drawing,일차함수 그래프 그리기,m1_func_slope,기울기,변화와 관계,일차함수와 그 그래프,변화와 관계,일차함수와 그 그래프,procedure,term,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-15]; achievement_math_2022: 일차함수와 그 그래프 section; [9수02-15] achievement levels
88,m1_func_graph_drawing,일차함수 그래프 그리기,m1_func_x_intercept,x절편,변화와 관계,일차함수와 그 그래프,변화와 관계,일차함수와 그 그래프,procedure,term,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-15]; achievement_math_2022: 일차함수와 그 그래프 section; [9수02-15] achievement levels
89,m1_func_graph_drawing,일차함수 그래프 그리기,m1_func_y_intercept,y절편,변화와 관계,일차함수와 그 그래프,변화와 관계,일차함수와 그 그래프,procedure,term,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-15]; achievement_math_2022: 일차함수와 그 그래프 section; [9수02-15] achievement levels
90,m1_func_linear_formula,일차함수의 식,m1_func_linear_graph,일차함수의 그래프,변화와 관계,일차함수와 그 그래프,변화와 관계,일차함수와 그 그래프,representation,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-15]; achievement_math_2022: 일차함수와 그 그래프 section; [9수02-15] achievement levels
91,m1_func_linear_formula,일차함수의 식,m1_func_y_ax_b_graph,일차함수 y=ax+b의 그래프,변화와 관계,일차함수와 그 그래프,변화와 관계,일차함수와 그 그래프,representation,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-15]; achievement_math_2022: 일차함수와 그 그래프 section; [9수02-15] achievement levels
92,m1_func_linear_formula,일차함수의 식,m1_func_y_ax_graph,일차함수 y=ax의 그래프,변화와 관계,일차함수와 그 그래프,변화와 관계,일차함수와 그 그래프,representation,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-15]; achievement_math_2022: 일차함수와 그 그래프 section; [9수02-15] achievement levels
93,m1_func_parallel_translation,평행이동,m1_func_y_ax_graph,일차함수 y=ax의 그래프,변화와 관계,일차함수와 그 그래프,변화와 관계,일차함수와 그 그래프,procedure,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 36; terms and symbols for 변화와 관계; achievement_math_2022: 일차함수와 그 그래프 section; [9수02-15] achievement levels
94,m1_func_problem_solving,일차함수 활용 문제 해결,m1_func_find_graph_equation,일차함수 그래프의 식 구하기,변화와 관계,일차함수와 그 그래프,변화와 관계,일차함수와 그 그래프,procedure,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-16]; achievement_math_2022: 일차함수와 그 그래프 section; [9수02-16] achievement levels
95,m1_func_two_quantity_relation,두 양 사이의 관계,m1_func_function_judgement,함수인지 판단하기,변화와 관계,일차함수와 그 그래프,변화와 관계,일차함수와 그 그래프,sub_concept,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 36; achievement-standard considerations; achievement_math_2022: 일차함수와 그 그래프 section; [9수02-14] achievement levels
96,m1_func_y_ax_b_graph,일차함수 y=ax+b의 그래프,m1_func_slope,기울기,변화와 관계,일차함수와 그 그래프,변화와 관계,일차함수와 그 그래프,representation,term,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,achievement_math_2022: 일차함수와 그 그래프 section; [9수02-15] achievement levels
97,m1_func_y_ax_b_graph,일차함수 y=ax+b의 그래프,m1_func_y_intercept,y절편,변화와 관계,일차함수와 그 그래프,변화와 관계,일차함수와 그 그래프,representation,term,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,achievement_math_2022: 일차함수와 그 그래프 section; [9수02-15] achievement levels
98,m1_func_y_ax_graph,일차함수 y=ax의 그래프,m1_func_slope,기울기,변화와 관계,일차함수와 그 그래프,변화와 관계,일차함수와 그 그래프,representation,term,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,achievement_math_2022: 일차함수와 그 그래프 section; [9수02-15] achievement levels
99,m1_func_intersection_count,교점의 개수,m1_func_system_graph_relation,두 일차함수의 그래프와 연립일차방정식의 관계,변화와 관계,일차함수와 일차방정식의 관계,변화와 관계,일차함수와 일차방정식의 관계,property,property,yes,yes,no,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,achievement_math_2022: 일차함수와 일차방정식의 관계 section; [9수02-18] achievement levels
100,m1_graph_situation_graphing,상황을 그래프로 나타내기,m1_repr_conversion,표·식·그래프 상호 변환,변화와 관계,좌표평면과 그래프,변화와 관계,좌표평면과 그래프,procedure,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 34; [9수02-06]; achievement_math_2022: 좌표평면과 그래프 section; [9수02-06] achievement levels
101,m1_repr_everyday_language,일상 언어,m1_graph_graph,그래프,변화와 관계,좌표평면과 그래프,변화와 관계,좌표평면과 그래프,representation,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 36; achievement-standard considerations; curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations
102,m1_repr_everyday_language,일상 언어,m1_repr_conversion,표·식·그래프 상호 변환,변화와 관계,좌표평면과 그래프,변화와 관계,좌표평면과 그래프,representation,procedure,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 36; achievement-standard considerations; curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations
103,m1_repr_everyday_language,일상 언어,m1_repr_expression,식,변화와 관계,좌표평면과 그래프,변화와 관계,좌표평면과 그래프,representation,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 36; achievement-standard considerations; curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations
104,m1_repr_everyday_language,일상 언어,m1_repr_table,표,변화와 관계,좌표평면과 그래프,변화와 관계,좌표평면과 그래프,representation,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 36; achievement-standard considerations; curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations
105,m1_repr_expression,식,m1_expr_literal_expression,문자를 사용한 식,변화와 관계,좌표평면과 그래프,변화와 관계,문자의 사용과 식,representation,representation,yes,no,yes,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 34; [9수02-01]; curriculum_math_2022: printed p. 35; [9수02-07]; curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations; +2 more
106,m1_repr_expression,식,m1_graph_graph,그래프,변화와 관계,좌표평면과 그래프,변화와 관계,좌표평면과 그래프,representation,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 34; [9수02-01]; curriculum_math_2022: printed p. 35; [9수02-07]; curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations; +2 more
107,m1_repr_table,표,m1_graph_graph,그래프,변화와 관계,좌표평면과 그래프,변화와 관계,좌표평면과 그래프,representation,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-07]; curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations; achievement_math_2022: 좌표평면과 그래프 section; [9수02-07] achievement levels
108,m1_num_composite_number,합성수,m1_num_prime_factorization,소인수분해,수와 연산,소인수분해,수와 연산,소인수분해,term,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; curriculum_math_2022: printed p. 33; [9수01-01]; achievement_math_2022: 소인수분해 section; [9수01-01] achievement levels
109,m1_num_coprime,서로소,m1_num_prime_factorization,소인수분해,수와 연산,소인수분해,수와 연산,소인수분해,term,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; curriculum_math_2022: printed p. 33; [9수01-02]
110,m1_num_fraction_decimal_classification,분수가 유한소수 또는 순환소수로 나타나는지 구분하기,m1_num_rational_repeating_relation,유리수와 순환소수의 관계,수와 연산,유리수와 순환소수,수와 연산,유리수와 순환소수,procedure,property,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels
111,m1_num_division,나눗셈,m1_num_reciprocal,역수,수와 연산,정수와 유리수,수와 연산,정수와 유리수,procedure,term,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 33; [9수01-05]; achievement_math_2022: 정수와 유리수 section; [9수01-05] achievement levels
112,m1_num_integer_rational_unit,정수와 유리수,m1_num_square_root_real_unit,제곱근과 실수,수와 연산,정수와 유리수,수와 연산,제곱근과 실수,core_concept,core_concept,yes,no,yes,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 33; [9수01-03]; curriculum_math_2022: printed p. 33; [9수01-04]; curriculum_math_2022: printed p. 33; [9수01-05]; +4 more
113,m1_num_negative_need,음수의 필요성,m1_num_number_line,수직선,수와 연산,정수와 유리수,수와 연산,정수와 유리수,property,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 33; [9수01-03]; achievement_math_2022: 정수와 유리수 section; [9수01-03] achievement levels
114,m1_num_negative_rational,음의 유리수,m1_num_negative_number,음수,수와 연산,정수와 유리수,수와 연산,정수와 유리수,term,term,yes,yes,no,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; curriculum_math_2022: printed p. 33; [9수01-03]; achievement_math_2022: 정수와 유리수 section; [9수01-03] achievement levels
115,m1_num_positive_rational,양의 유리수,m1_num_positive_number,양수,수와 연산,정수와 유리수,수와 연산,정수와 유리수,term,term,yes,yes,no,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; curriculum_math_2022: printed p. 33; [9수01-03]; achievement_math_2022: 정수와 유리수 section; [9수01-03] achievement levels
116,m1_num_square_root_calculator,계산기로 제곱근 값 구하기,m1_num_compare_square_roots,제곱근의 대소 관계,수와 연산,제곱근과 실수,수와 연산,제곱근과 실수,procedure,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed pp. 33-34; [9수01-08] explanation and considerations
117,m1_num_square_root_real_unit,제곱근과 실수,m1_num_integer_rational_unit,정수와 유리수,수와 연산,제곱근과 실수,수와 연산,정수와 유리수,core_concept,core_concept,yes,no,yes,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 33; [9수01-07]; curriculum_math_2022: printed p. 33; [9수01-08]; curriculum_math_2022: printed p. 33; [9수01-09]; +6 more
118,m1_data_representative_value,대푯값,m1_data_choose_representative_value,자료의 특성에 맞는 대푯값 선택,자료와 가능성,대푯값,자료와 가능성,대푯값,core_concept,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed pp. 41-42; terms and symbols for 자료와 가능성; curriculum_math_2022: printed p. 40; [9수04-01]; curriculum_math_2022: printed p. 41; [9수04-01] explanation; +1 more
119,m1_data_class_mark,계급값,m1_data_frequency_table,도수분포표,자료와 가능성,도수분포표와 상대도수,자료와 가능성,도수분포표와 상대도수,term,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 42; terms usable in teaching and learning situations; curriculum_math_2022: printed p. 40; [9수04-02]
120,m1_data_class_width,계급의 크기,m1_data_frequency_table,도수분포표,자료와 가능성,도수분포표와 상대도수,자료와 가능성,도수분포표와 상대도수,term,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed pp. 41-42; terms and symbols for 자료와 가능성; curriculum_math_2022: printed p. 40; [9수04-02]; achievement_math_2022: 자료와 가능성 section; [9수04-02]~[9수04-04] achievement levels
121,m1_data_class_width,계급의 크기,m1_data_histogram,히스토그램,자료와 가능성,도수분포표와 상대도수,자료와 가능성,도수분포표와 상대도수,term,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed pp. 41-42; terms and symbols for 자료와 가능성; curriculum_math_2022: printed p. 40; [9수04-02]; achievement_math_2022: 자료와 가능성 section; [9수04-02]~[9수04-04] achievement levels
122,m1_data_frequency_table,도수분포표,m1_data_frequency_polygon,도수분포다각형,자료와 가능성,도수분포표와 상대도수,자료와 가능성,도수분포표와 상대도수,representation,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed pp. 41-42; terms and symbols for 자료와 가능성; curriculum_math_2022: printed p. 40; [9수04-02]; achievement_math_2022: 자료와 가능성 section; [9수04-02]~[9수04-04] achievement levels
123,m1_data_frequency_table,도수분포표,m1_data_relative_frequency,상대도수,자료와 가능성,도수분포표와 상대도수,자료와 가능성,도수분포표와 상대도수,representation,term,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed pp. 41-42; terms and symbols for 자료와 가능성; curriculum_math_2022: printed p. 40; [9수04-02]; achievement_math_2022: 자료와 가능성 section; [9수04-02]~[9수04-04] achievement levels
124,m1_data_relative_frequency_table_graph,상대도수의 분포를 표나 그래프로 나타내기,m1_data_distribution_interpretation,자료의 분포 특징 해석,자료와 가능성,도수분포표와 상대도수,자료와 가능성,도수분포표와 상대도수,procedure,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 40; [9수04-03]; curriculum_math_2022: printed p. 41; [9수04-03] explanation; achievement_math_2022: 자료와 가능성 section; [9수04-02]~[9수04-04] achievement levels
125,m1_data_statistical_evidence_discussion,통계적 근거로 토론하기,m1_data_critical_graph_reading,표와 그래프의 오류 비판적으로 읽기,자료와 가능성,도수분포표와 상대도수,자료와 가능성,도수분포표와 상대도수,procedure,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 41; [9수04-04] explanation and considerations; achievement_math_2022: 자료와 가능성 section; [9수04-02]~[9수04-04] achievement levels
126,m1_data_technology_tool_stats,공학 도구로 자료 수집·분석하기,m1_data_critical_graph_reading,표와 그래프의 오류 비판적으로 읽기,자료와 가능성,도수분포표와 상대도수,자료와 가능성,도수분포표와 상대도수,procedure,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 40; [9수04-04]; curriculum_math_2022: printed p. 41; [9수04-04] explanation and considerations; curriculum_math_2022: printed p. 42; achievement-standard considerations; +2 more
127,m1_data_compare_distributions_variability,산포도로 두 집단의 분포 비교,m1_data_box_plot_compare,상자그림으로 두 집단의 분포 비교,자료와 가능성,산포도,자료와 가능성,상자그림과 산점도,procedure,procedure,yes,no,yes,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 41; [9수04-07]; achievement_math_2022: 자료와 가능성 section; [9수04-07] achievement levels
128,m1_data_deviation,편차,m1_data_standard_deviation,표준편차,자료와 가능성,산포도,자료와 가능성,산포도,term,term,yes,yes,no,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed pp. 41-42; terms and symbols for 자료와 가능성; curriculum_math_2022: printed p. 41; [9수04-07]; achievement_math_2022: 자료와 가능성 section; [9수04-07] achievement levels
129,m1_data_box_plot_compare,상자그림으로 두 집단의 분포 비교,m1_data_compare_distributions_variability,산포도로 두 집단의 분포 비교,자료와 가능성,상자그림과 산점도,자료와 가능성,산포도,procedure,procedure,yes,no,yes,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 41; [9수04-08]; curriculum_math_2022: printed pp. 41-42; achievement-standard considerations; achievement_math_2022: 자료와 가능성 section; [9수04-08]~[9수04-09] achievement levels
130,m1_geo_angle,각,m1_geo_parallel_angle_properties,평행선에서 동위각과 엇각의 성질,도형과 측정,기본 도형,도형과 측정,기본 도형,term,property,yes,yes,no,related_to,3,low,confirm_related_to_edge,curriculum_math_2022: printed p. 37; [9수03-01]; achievement_math_2022: 기본 도형 section; [9수03-01] achievement levels
131,m1_geo_parallel_angle_properties,평행선에서 동위각과 엇각의 성질,m1_geo_parallel_segment_ratio,평행선 사이의 선분의 길이의 비,도형과 측정,기본 도형,도형과 측정,도형의 닮음,property,property,yes,no,no,contrasts_with; related_to,3,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 37; [9수03-02]; achievement_math_2022: 기본 도형 section; [9수03-02] achievement levels
132,m1_geo_vertical_angles,맞꼭지각,m1_geo_parallel_angle_properties,평행선에서 동위각과 엇각의 성질,도형과 측정,기본 도형,도형과 측정,기본 도형,term,property,yes,yes,no,related_to,3,low,confirm_related_to_edge,curriculum_math_2022: printed pp. 38-39; terms and symbols for 도형과 측정; curriculum_math_2022: printed p. 37; [9수03-01]; achievement_math_2022: 기본 도형 section; [9수03-01] achievement levels
133,m1_geo_centroid_from_parallel_ratio,평행선과 선분의 비로 무게중심 찾기,m1_geo_median,중선,도형과 측정,도형의 닮음,도형과 측정,삼각형과 사각형의 성질,procedure,term,yes,no,no,used_in; related_to,3,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 38; [9수03-14]; achievement_math_2022: 도형의 닮음 section; [9수03-12]~[9수03-14] achievement levels
134,m1_geo_similar_figures,닮은 도형,m1_geo_correspondence,도형의 대응,도형과 측정,도형의 닮음,도형과 측정,도형의 닮음,core_concept,term,yes,yes,no,related_to,3,low,confirm_related_to_edge,curriculum_math_2022: printed p. 38; [9수03-12]; achievement_math_2022: 도형의 닮음 section; [9수03-12]~[9수03-14] achievement levels
135,m1_geo_trig_unit,삼각비,m1_geo_triangle_quadrilateral_unit,삼각형과 사각형의 성질,도형과 측정,삼각비,도형과 측정,삼각형과 사각형의 성질,core_concept,core_concept,yes,no,no,contrasts_with; related_to,3,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 38; [9수03-16]; curriculum_math_2022: printed p. 38; [9수03-17]; curriculum_math_2022: printed p. 39; achievement-standard considerations; +1 more
136,m1_geo_circle_justification,원의 성질 정당화,m1_geo_justification,정당화,도형과 측정,원의 성질,도형과 측정,삼각형과 사각형의 성질,procedure,procedure,yes,no,no,used_in; related_to,3,low,confirm_used_in_or_related_edge,"curriculum_math_2022: printed p. 38; [9수03-18]; curriculum_math_2022: printed p. 38; [9수03-19]; curriculum_math_2022: printed pp. 38-39; [9수03-09], [9수03-11] explanation and considerations; +1 more"
137,m1_geo_tangent_length,접선의 길이,m1_geo_tangent_line,접선,도형과 측정,원의 성질,도형과 측정,원의 성질,property,term,yes,yes,no,related_to,3,low,confirm_related_to_edge,curriculum_math_2022: printed p. 39; terms usable in teaching and learning situations; achievement_math_2022: 원의 성질 section; [9수03-18]~[9수03-19] achievement levels
138,m1_geo_tangent_relation,접한다,m1_geo_tangent_property,원의 접선에 관한 성질,도형과 측정,원의 성질,도형과 측정,원의 성질,term,property,yes,yes,no,related_to,3,low,confirm_related_to_edge,curriculum_math_2022: printed pp. 38-39; terms and symbols for 도형과 측정; curriculum_math_2022: printed p. 38; [9수03-18]; achievement_math_2022: 원의 성질 section; [9수03-18]~[9수03-19] achievement levels
139,m1_geo_triangle_congruence_judgement,삼각형의 합동 판별,m1_geo_justification,정당화,도형과 측정,작도와 합동,도형과 측정,삼각형과 사각형의 성질,procedure,procedure,yes,no,no,used_in; related_to,3,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 37; [9수03-04]; achievement_math_2022: 작도와 합동 section; [9수03-04] achievement levels
140,m1_geo_sector_arc_length_area,부채꼴의 호의 길이와 넓이 구하기,m1_geo_circle,원,도형과 측정,평면도형의 성질,도형과 측정,원의 성질,procedure,core_concept,yes,no,no,used_in; related_to,3,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 38; [9수03-06]; achievement_math_2022: 평면도형의 성질 section; [9수03-06] achievement levels
141,m1_geo_pythagorean_justification,피타고라스 정리의 정당화,m1_geo_proof,증명,도형과 측정,피타고라스 정리,도형과 측정,삼각형과 사각형의 성질,procedure,procedure,yes,no,no,used_in; related_to,3,low,confirm_used_in_or_related_edge,"curriculum_math_2022: printed p. 38; [9수03-15]; curriculum_math_2022: printed pp. 38-39; [9수03-09], [9수03-11] explanation and considerations; achievement_math_2022: 피타고라스 정리 section; [9수03-15] achievement levels"
142,m1_factor_binomial_product_xab,(x+a)(x+b) 공식,m1_quad_eq_factorization_solving,인수분해를 이용한 이차방정식 풀이,변화와 관계,다항식의 곱셈과 인수분해,변화와 관계,이차방정식,property,procedure,yes,no,no,used_in; related_to,3,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 36; [9수02-19] explanation; achievement_math_2022: 다항식의 곱셈과 인수분해 section; [9수02-19] achievement levels
143,m1_factor_factor,인수,m1_expr_term,항,변화와 관계,다항식의 곱셈과 인수분해,변화와 관계,문자의 사용과 식,term,term,yes,no,no,contrasts_with; related_to,3,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; terms and symbols for 변화와 관계; curriculum_math_2022: printed p. 35; [9수02-19]; achievement_math_2022: 다항식의 곱셈과 인수분해 section; [9수02-19] achievement levels
144,m1_expr_letter,문자,m1_repr_expression,식,변화와 관계,문자의 사용과 식,변화와 관계,좌표평면과 그래프,term,representation,yes,no,no,represented_by; related_to,3,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 34; [9수02-01]; curriculum_math_2022: printed p. 36; achievement-standard considerations; achievement_math_2022: 문자의 사용과 식 section; [9수02-01] achievement levels
145,m1_expr_monomial,단항식,m1_expr_term,항,변화와 관계,문자의 사용과 식,변화와 관계,문자의 사용과 식,sub_concept,term,yes,yes,no,related_to,3,low,confirm_related_to_edge,curriculum_math_2022: printed p. 36; terms and symbols for 변화와 관계
146,m1_expr_unit,문자의 사용과 식,m1_coord_graph_unit,좌표평면과 그래프,변화와 관계,문자의 사용과 식,변화와 관계,좌표평면과 그래프,core_concept,core_concept,yes,no,no,contrasts_with; related_to,3,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 34; [9수02-01]; curriculum_math_2022: printed p. 34; [9수02-02]
147,m1_calc_polynomial_add_sub,다항식의 덧셈과 뺄셈,m1_expr_add_sub_linear_expression,일차식의 덧셈과 뺄셈,변화와 관계,식의 계산,변화와 관계,문자의 사용과 식,procedure,procedure,yes,no,no,used_in; related_to,3,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-09]; achievement_math_2022: 식의 계산 section; [9수02-09] achievement levels
148,m1_system_two_variable_linear_equation,미지수가 2개인 일차방정식,m1_coord_graph_unit,좌표평면과 그래프,변화와 관계,연립일차방정식,변화와 관계,좌표평면과 그래프,core_concept,core_concept,yes,no,no,contrasts_with; related_to,3,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-13]; achievement_math_2022: 연립일차방정식 section; [9수02-13] achievement levels
