rank,concept_id,label_ko,matched_term,grade,domain,unit,concept_type,confidence,recommended_action,page_number,match_count_on_page,context_signal,context_excerpt,review_status,source_candidate_id,source_locator_candidate,source_ref_upgrade_allowed,notes
54,m1_num_divisor,약수,약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,term,medium,inspect_research_report_context_before_source_ref_upgrade,13,1,achievement_level_context; assessment_context; teaching_learning_context; curriculum_context,"...2 개정 수학과 교육과정 주요 변화 비고 ⦁ ⦁ (중학교 1학년) 최대공약수, 최소공배수의 성질 이해 및 활용 삭제, 대 학습 부담 완화 및 학 푯값(...",pending_context_review,achievement_research_report_2022,연구보고서 p. 13,no,Short page context for manual review only; do not change source_refs or confidence without source review.
55,m1_num_divisor,약수,약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,term,medium,inspect_research_report_context_before_source_ref_upgrade,26,2,achievement_level_context; teaching_learning_context; curriculum_context,...년 3~4학년 5~6학년 1~3학년 ㆍ네 자리 이하의 ㆍ다섯 자리 이상 ㆍ약수와 배수 ㆍ 소인 수분 ㆍ 유 리수 와 ㆍ제 곱근 과 수 의 수 ㆍ수의 범...,pending_context_review,achievement_research_report_2022,연구보고서 p. 26,no,Short page context for manual review only; do not change source_refs or confidence without source review.
56,m1_geo_circle_radius,원의 반지름,반지름,중3(교육과정 학년군: 중1-3),도형과 측정,원의 성질,term,medium,inspect_research_report_context_before_source_ref_upgrade,61,1,achievement_level_context; example_assessment_tool_context; assessment_context; teaching_learning_context; curriculum_context,...합 세트 ⑤ [4수03-07] 컴퍼스를 이용 ∙ 지필평가 도형과 주어진 반지름을 이용하여 컴퍼스로 하여 여러 가지 크기의 (단답형) 측정 원 그리기 원...,pending_context_review,achievement_research_report_2022,연구보고서 p. 61,no,Short page context for manual review only; do not change source_refs or confidence without source review.
57,m1_geo_circle_radius,원의 반지름,반지름,중3(교육과정 학년군: 중1-3),도형과 측정,원의 성질,term,medium,inspect_research_report_context_before_source_ref_upgrade,131,5,achievement_level_context; curriculum_context,"부록 원의 구성 요소 성취기준 성취기준별 성취수준 원의 중심, 반지름, 지름에 대한 이해를 바탕으로 원의 여러 가지 성질을 찾아 [4수03-06] 원의 중심...",pending_context_review,achievement_research_report_2022,연구보고서 p. 131,no,Short page context for manual review only; do not change source_refs or confidence without source review.
58,m1_quad_eq_coefficients_in_standard_form,이차방정식의 계수,"a, b, c",중3(교육과정 학년군: 중1-3),변화와 관계,이차방정식,term,medium,inspect_research_report_context_before_source_ref_upgrade,35,6,achievement_level_context; assessment_context; teaching_learning_context; curriculum_context,Ⅱ. 2022 개정 수학과 교육과정에 따른 초･중학교 성취수준 개발 방향 탐색 <표 Ⅱ-2-6> 성취기준별 성취수준 진술 지침 진술 지침 기준 ･ ･ 초등학...,pending_context_review,achievement_research_report_2022,연구보고서 p. 35,no,Short page context for manual review only; do not change source_refs or confidence without source review.
59,m1_quad_eq_coefficients_in_standard_form,이차방정식의 계수,"a, b, c",중3(교육과정 학년군: 중1-3),변화와 관계,이차방정식,term,medium,inspect_research_report_context_before_source_ref_upgrade,37,2,achievement_level_context; curriculum_context,Ⅱ. 2022 개정 수학과 교육과정에 따른 초･중학교 성취수준 개발 방향 탐색 ･ ･ 한편 성취기준별 성취수준은 초등학교 전 교과와 중학교 체육 음악 미술...,pending_context_review,achievement_research_report_2022,연구보고서 p. 37,no,Short page context for manual review only; do not change source_refs or confidence without source review.
60,m1_geo_correspondence,도형의 대응,대응,중2(교육과정 학년군: 중1-3),도형과 측정,도형의 닮음,term,medium,inspect_research_report_context_before_source_ref_upgrade,5,1,achievement_level_context; example_assessment_tool_context; assessment_context; teaching_learning_context; curriculum_context,"머리말 교육부에서는 학습자가 미래 사회 변화에 대응할 수 있는 힘을 기르고, 디지털 인공 ･ 지능 기반 교실 수업을 개선하기 위해 2022년 12월 2022...",pending_context_review,achievement_research_report_2022,연구보고서 p. 5,no,Short page context for manual review only; do not change source_refs or confidence without source review.
61,m1_geo_correspondence,도형의 대응,대응,중2(교육과정 학년군: 중1-3),도형과 측정,도형의 닮음,term,medium,inspect_research_report_context_before_source_ref_upgrade,12,1,achievement_level_context; assessment_context; teaching_learning_context; curriculum_context,"....2). 2022 개정 교육과정의 주요 개정 방향은 미래 사회 ･ 변화에 대응하는 힘을 기를 수 있도록 학습자 주도성과 역량을 체계화하고, 지역 학교의...",pending_context_review,achievement_research_report_2022,연구보고서 p. 12,no,Short page context for manual review only; do not change source_refs or confidence without source review.
62,m1_data_mean,평균,평균,중1(교육과정 학년군: 중1-3),자료와 가능성,대푯값,term,medium,inspect_research_report_context_before_source_ref_upgrade,91,1,achievement_level_context; example_assessment_tool_context; assessment_context; teaching_learning_context; curriculum_context,"...정도 등을 알려주는 등 다양한 정보를 제공할 수 있다. 지필평가의 경우 평균, 표준편차, 성취수준별 학생 비율 분포, 문항 정답률, 문항 변별 도 등에...",pending_context_review,achievement_research_report_2022,연구보고서 p. 91,no,Short page context for manual review only; do not change source_refs or confidence without source review.
63,m1_data_mean,평균,평균,중1(교육과정 학년군: 중1-3),자료와 가능성,대푯값,term,medium,inspect_research_report_context_before_source_ref_upgrade,177,7,achievement_level_context; curriculum_context,"...가능성 자료의 수집과 정리 성취기준 성취기준별 성취수준 [6수04-01] 평균의 의 평균의 의미와 유용성을 인식하고, 여러 집단의 자료를 수집하여 평균...",pending_context_review,achievement_research_report_2022,연구보고서 p. 177,no,Short page context for manual review only; do not change source_refs or confidence without source review.
64,m1_calc_expansion,전개,전개,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,procedure,medium,inspect_research_report_context_before_source_ref_upgrade,173,5,achievement_level_context; curriculum_context,"...꼭짓점을 찾을 할 수 있다. C 수 있다. 직육면체와 정육면체의 겨냥도와 전개도를 그리고, 구성 요소와 성질을 이용하 A [6수03-04] 직육면체와...",pending_context_review,achievement_research_report_2022,연구보고서 p. 173,no,Short page context for manual review only; do not change source_refs or confidence without source review.
65,m1_calc_expansion,전개,전개,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,procedure,medium,inspect_research_report_context_before_source_ref_upgrade,174,10,achievement_level_context; curriculum_context,"...기둥과 각뿔에서 면, 모서리, 꼭짓점을 찾을 수 다. C 있다. 각기둥의 전개도를 그리고, 구성 요소와 성질을 이용하여 그 방법을 설명할 수 A 있다....",pending_context_review,achievement_research_report_2022,연구보고서 p. 174,no,Short page context for manual review only; do not change source_refs or confidence without source review.
66,m1_num_common_multiple,공배수,공배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,term,medium,inspect_research_report_context_before_source_ref_upgrade,13,1,achievement_level_context; assessment_context; teaching_learning_context; curriculum_context,"...학과 교육과정 주요 변화 비고 ⦁ ⦁ (중학교 1학년) 최대공약수, 최소공배수의 성질 이해 및 활용 삭제, 대 학습 부담 완화 및 학 푯값(중앙값, 최...",pending_context_review,achievement_research_report_2022,연구보고서 p. 13,no,Short page context for manual review only; do not change source_refs or confidence without source review.
67,m1_num_common_multiple,공배수,공배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,term,medium,inspect_research_report_context_before_source_ref_upgrade,26,1,achievement_level_context; teaching_learning_context; curriculum_context,"...수, 분수, 소수 등 수 관련 개념과 원리를 탐구하기 ㆍ최대공약수와 최소공배수 구하기 ㆍ수를 세고 읽고 쓰기 ㆍ정수, 유리수, 실수의 대소 관계 판단하...",pending_context_review,achievement_research_report_2022,연구보고서 p. 26,no,Short page context for manual review only; do not change source_refs or confidence without source review.
